category_name,category_name_id,description,item_id,item_img,item_name,price,restaurant_id,restaurant_name
Veg Pizza,403,"It is wonderful on nachos, crackers with cheese and for making chilly cheese toast.",103,redpaprikaPizza.png,Red Paprika Pizza ,₹249,203,Pizza Hut
Desserts & Beverage's,410,A truly indulgent experience with sweet and rich red velvet cake on a creamy cheese flavoured base to give a burst of flavour in every bite!,110,redVelvetLavaCake.png,Red Velvet Lava Cake ,₹145,210,Pizza Hut
Non-Veg Pizza,407,"Epic combination of signature pan crust, delicious chicken momos topped with spicy Schezwan sauce, Schezwan meatballs, onion, capsicum & 100% mozzarella",107,momoMia.png,Momo Mia Pizza ,₹349,207,Pizza Hut
Desserts & Beverage's,409,Sweet temptation! Butterscotch flavored mousse,109,butterscotchMousseCake.png,Butterscotch Mousse Cake ,₹115,209,Pizza Hut
Veg Pizza,402,Sweet & juicy golden corn for that lipsmacking taste,102,goldenCorn.png,Golden Corn Pizza ,₹189,202,Pizza Hut
Soft Drink's,411,1 Liter,111,thumsUp.png,Thums-Up ,₹69,211,Pizza Hut
Non-Veg Pizza,404,Pepper barbecue chicken for that extra zing,104,pepperBarbequeChicken.png,Pepper Barbecue Chicken ,₹289,204,Pizza Hut
Non-Veg Pizza,406,"Chicken malai tikka, herbed onion & green capsicum and red paprika",106,malaiChickenTikka.png,Malai Chicken Tikka ,₹269,206,Pizza Hut
Non-Veg Pizza,405,"Chicken sausage, chicken pepperoni, sweet corn, black olive & jalapeno",105,italianChickenFeast.png,Italian Chicken Feast ,₹329,205,Pizza Hut
Veg Pizza,401,"A hugely popular margherita, with a deliciously tangy single cheese topping.",101,creamyTomatoPastaPizza.png,Margherita Pizza ,₹229,201,Pizza Hut
Soft Drink's,412,1 Liter,112,sprit.png,Sprit ,₹69,212,Pizza Hut
Desserts & Beverage's,408,Hot bubbling gooey chocolate straight from heaven,108,chocoVolcanoCake.png,Choco Volcano Cake ,₹129,208,Pizza Hut
,,,,,,,,
Biryani,413,Chicken Biryani is rich in Vitamin-B6 which controls body's metabolic function.,113,boneless.jpg,Boneless Chicken Biryani,₹265,213,Yati Foods
Biryani,414,Promotes Brain Health. Tandoori Chicken minimizes the intake of fats and carbs.,114,tandoori.jpg,Tandoori Chicken Biryani,₹210,214,Yati Foods
Biryani,415,"Fiber, among it's many health benefits, has been shown to lower cholesterol.",115,chilli.jpg,Chicken Fry,₹195,215,Yati Foods
Curries,416,"Nutrients per Serving. A raw, boneless skinless chicken breast fillet .",116,chickk.jpg,Chicken Boneless Curry,₹229,216,Yati Foods
Curries,417,Mushrooms are Low Calorie. One cup of Mushrooms contain only 18 calories.,117,mushroommasala.jpg,Mushroom Masala,₹199,217,Yati Foods
Curries,418,"Serve as an additional boost to bring relief from cough, sore throat and also cold.",118,paratha.jpg,Pudina Partha,₹129,218,Yati Foods
Curries,419,Eating chicken can help to build stronger muscles.,119,curryy.jpg,Chicken Pulka Boneless,₹209,219,Yati Foods
Fried Rice and Noodles,420,"Vegetable fried rice is prepared healthily, it can be very beneficial for health.",120,veggfriedd.jpg,Veg Fried Rice,₹159,220,Yati Foods
Fried Rice and Noodles,421,"Shirataki noodles are fiber-rich noodles that may have some health benefits, such as helping people.",121,noodd.jpg,Mushroom Noodles,₹289,221,Yati Foods
Fried Rice and Noodles,422,"Fried rice is a valuable energy source that lowers your blood pressure.

",122,jointegg.jpg,Egg Fried Rice,₹239,222,Yati Foods
Soft Drinks,423,1 Liter,123,fanta.jpg,Fanta,₹79,223,Yati Foods
Soft Drinks,424,1 Liter,124,sprite.jpg,Sprite,₹59,224,Yati Foods
,,,,,,,,
,,,,,,,,
Starters,425,"Garlic is one of the oldest medicinal plants known to man, used as a treatment for many ailments since before recorded.",125,garlic.jpg,Garlic Chicken,₹245,225,Dakshin Haweli
Starters,426,Promotes Brain Health. Tandoori Chicken minimizes the intake of fats and carbs.,126,tandoori.jpg,Tandoori Chicken,₹219,226,Dakshin Haweli
Starters,427,Egg bhurji contains very few calories and 17 grams of protein which covers a large chunk.,127,eggburji.jpg,Egg Burji,₹169,227,Dakshin Haweli
Starters,428,"Fiber, among it's many health benefits, has been shown to lower cholesterol.",128,chilli.jpg,Chilly Chicken,₹195,228,Dakshin Haweli
Breads,429,Naan contains carbohydrates which provide the body with energy. ,129,mushroom.jpg,Garlic Naan,₹209,229,Dakshin Haweli
Breads,430,"Serve as an additional boost to bring relief from cough, sore throat and also cold.",130,paratha.jpg,Pudina Paratha,₹120,230,Dakshin Haweli
Breads,431,Eating chicken can help to build stronger muscles.,131,curryy.jpg,Chicken Pulka Boneles,₹229,231,Dakshin Haweli
Fried Rice and Noodles,432,"Vegetable fried rice is prepared healthily, it can be very beneficial for health.",132,veggfriedd.jpg,Veg Fried Rice,₹159,232,Dakshin Haweli
